l5e1,l5e2,l5e3,l5e4,l5e5,l5e6,l5e7,l5e8,l7e1,l7e2,l7e3,l7e4,l7e5,l7e6,l7e7,l7e8,maj_class
1001,1124,617,816,969,1395,1322,1744,1053,1374,1473,1202,756,979,1435,1008,485
587,1692,679,1256,981,1744,1057,861,1114,1258,1295,1046,1426,988,1040,1113,472
891,1266,427,1109,1096,802,1711,1690,1045,1319,972,1022,1012,957,1173,1648,297
588,1375,592,1736,1333,1680,862,688,1094,1469,1155,981,1419,934,1215,1013,540
761,1538,867,1229,828,1710,1179,1005,1121,1432,1287,928,1383,1041,1101,987,472
895,1283,747,1018,1373,920,1540,1363,1112,1251,962,921,1042,995,1359,1591,361
1210,1327,422,1277,1214,1519,1331,860,1115,1425,840,1134,688,1172,1366,1540,143
1744,1248,1138,925,921,884,976,956,1090,1489,1225,913,1118,967,1145,1333,390
969,1039,545,824,840,1727,1171,1665,1068,1550,1458,1108,769,1049,1336,942,485
1744,1702,1108,989,1065,327,913,616,952,1520,830,1175,847,961,1252,1727,991
944,1382,364,1115,1073,634,1689,1476,1108,1337,966,910,936,974,1231,1586,297
685,1225,609,1736,1075,1676,1085,631,1066,1378,1167,878,1499,912,1296,1057,540
881,938,615,908,883,1611,1239,1744,1065,1504,1413,1166,786,927,1379,1032,485
1744,1283,1062,905,921,875,1220,1082,1057,1425,1172,959,1090,984,1220,1373,390
769,1578,478,983,1197,856,1651,1281,1121,1397,940,1042,951,962,1430,1406,361
1364,1464,373,1201,901,1627,1435,845,1157,1492,790,1132,679,1044,1355,1576,143
692,1480,999,1265,907,1661,994,1115,1014,1400,1436,882,1439,987,1079,1033,472
910,1242,371,1035,1065,730,1744,1706,1145,1395,946,903,844,1014,1269,1676,297
1744,1402,1329,972,1051,326,814,695,974,1351,884,1227,797,1024,1281,1657,991
958,953,481,1026,1236,1313,1400,1735,1173,1449,1405,1149,796,985,1543,780,485
436,1394,563,1718,1373,1667,1025,580,1078,1445,1186,1009,1501,893,1269,899,540
1246,1242,438,1390,1076,1495,1380,895,1164,1384,771,1194,652,1171,1515,1429,143
1744,1265,816,1123,954,1053,1065,926,1046,1426,1163,1011,1153,1023,1240,1218,390
768,971,563,1014,1540,883,1744,1535,946,1463,929,936,1025,935,1309,1659,361
812,1490,720,1260,990,1671,1184,730,1125,1338,1318,917,1445,990,1097,1050,472
936,977,652,982,1031,1569,1189,1680,1130,1436,1434,1098,854,949,1454,907,485
624,1255,565,1634,1445,1744,1183,518,1079,1556,911,993,1388,951,1456,909,540
1449,1320,499,1241,942,1650,1345,712,1211,1375,894,1113,683,1081,1475,1448,143
1744,1603,1302,1018,1090,318,850,702,951,1510,900,1077,998,930,1069,1734,991
982,1487,412,1066,918,858,1740,1613,1142,1348,1015,987,877,954,1331,1542,297
775,1454,549,985,1180,725,1718,1457,1108,1351,968,937,1022,968,1326,1573,361
1744,1462,1231,977,863,715,995,1065,1043,1349,1251,936,1226,898,1185,1392,390
677,1492,870,1144,931,1744,1041,769,1147,1377,1320,1027,1271,1034,1201,903,472
795,885,659,906,1046,1657,1136,1740,1108,1337,1474,1123,833,955,1343,1101,485
1734,1716,1114,1118,1078,427,888,547,916,1547,998,985,980,971,1105,1640,991
531,1401,566,1744,1190,1722,1076,670,1112,1478,1182,936,1557,784,1216,999,540
1129,1417,504,1138,1123,1617,1406,675,1097,1401,1042,1092,848,1123,1314,1363,143
885,1319,463,988,978,882,1702,1673,1053,1394,876,952,958,974,1273,1699,297
847,1706,801,1319,856,1699,1000,826,1088,1240,1449,963,1503,995,1091,951,472
1033,1008,558,798,953,1634,1297,1635,1121,1441,1563,1135,736,926,1319,1000,485
944,1593,611,974,1345,807,1519,1270,946,1262,1071,975,1114,885,1159,1690,361
1744,1652,1163,1196,1036,402,754,515,993,1669,988,1090,898,876,1139,1624,991
1089,1359,386,1340,1188,1668,1378,625,1095,1464,1094,1121,879,1080,1240,1307,143
673,1146,624,1684,1362,1712,1068,559,1044,1458,1034,1015,1431,1036,1231,1031,540
1729,1538,696,940,892,870,1193,988,1047,1497,1209,1002,1103,1028,1142,1252,390
768,1419,952,1388,845,1721,1110,888,1089,1391,1333,936,1385,1075,1170,901,472
920,1579,351,1039,1055,979,1725,1549,1083,1485,958,871,807,934,1260,1698,297
721,1327,678,926,1431,916,1683,1506,1102,1411,837,934,1011,991,1376,1558,361
1038,1109,498,1447,1088,1716,1357,889,1209,1406,890,1132,778,1112,1433,1320,143
1117,895,525,881,1133,1598,1299,1631,1128,1444,1456,1176,772,935,1447,922,485
1744,1621,1284,1172,1024,342,849,590,970,1662,775,1078,818,998,1114,1677,991
542,1116,531,1680,1256,1744,1202,632,1086,1426,1033,1013,1461,980,1318,963,540
852,1672,884,1180,850,1735,1094,768,1165,1312,1426,930,1412,998,1122,890,472
1744,1349,967,1044,964,784,1111,867,1047,1565,1169,977,1080,1011,1116,1315,390
1088,953,595,935,985,1534,1324,1566,1088,1512,1515,1127,752,952,1406,925,485
912,1569,373,1157,980,749,1703,1589,1095,1338,973,934,835,955,1274,1673,297
1744,1687,1121,1191,1039,337,826,612,932,1684,841,1149,794,928,1143,1621,991
587,1102,381,1601,1451,1744,1243,597,1098,1644,994,1085,1286,952,1381,819,540
842,1521,691,857,1385,752,1700,1363,1125,1419,912,997,922,925,1367,1563,361
1138,1535,496,1270,973,1545,1353,626,1153,1339,919,1158,824,1069,1352,1466,143
749,1513,897,1216,916,1744,1059,915,1112,1285,1258,1010,1394,939,1226,1056,472
1744,1345,1034,845,970,909,1110,932,1031,1603,1186,985,1113,944,1165,1253,390
996,1461,510,1133,895,735,1662,1679,1123,1314,900,869,1074,971,1268,1703,297
971,1000,636,819,797,1724,1221,1744,1121,1365,1459,1137,755,939,1307,1197,485
1744,1546,1212,1081,1125,343,829,708,945,1511,944,1155,912,1051,1191,1553,991
893,1349,692,1032,1245,1114,1504,1267,1031,1346,889,1030,997,1058,1318,1580,361
598,1166,437,1721,1404,1744,1082,600,1056,1451,1088,1003,1441,925,1331,985,540
696,1701,620,1352,981,1651,1003,738,1158,1286,1415,970,1352,1110,1078,911,472
931,1221,499,1346,1150,1600,1382,734,1085,1340,910,1266,825,1194,1445,1215,143
939,1375,393,1149,968,727,1725,1702,1136,1465,870,910,825,934,1313,1706,297
1744,1595,1160,881,788,777,1070,867,1111,1381,1273,1001,1215,926,1079,1294,390
823,1679,654,1334,901,1698,1120,821,1161,1261,1352,1080,1213,1014,1329,870,472
1070,758,529,972,896,1699,1207,1744,1120,1320,1521,1174,847,948,1380,970,485
505,1024,484,1678,1489,1744,943,624,1135,1521,1007,1166,1316,998,1336,801,540
895,1323,593,964,1315,1058,1621,1450,1114,1363,1009,929,1084,901,1251,1609,361
1744,1534,1265,1162,825,323,895,801,936,1549,894,1127,877,1037,1132,1645,991
1058,1043,541,1390,1103,1655,1326,824,1044,1381,811,1225,785,1177,1336,1521,143
1049,1208,424,1103,947,961,1623,1610,1081,1343,918,969,893,963,1381,1624,297
1047,887,560,906,1234,1252,1263,1744,1088,1432,1334,1064,810,940,1468,1144,485
1139,1525,520,1352,979,1556,1375,814,1202,1270,877,1074,889,1111,1409,1448,143
926,1572,600,963,1423,725,1586,1419,1043,1465,829,968,943,973,1407,1652,361
1699,1468,1172,968,850,800,1095,967,1029,1561,1087,1005,1122,956,1188,1284,390
1744,1550,1372,972,1055,208,852,718,969,1543,781,1154,831,1084,1341,1528,991
784,1734,763,1248,1168,1449,1169,812,1129,1379,1283,989,1266,1002,1106,1117,472
905,1268,395,1083,1034,798,1744,1605,1133,1395,915,918,894,914,1304,1633,297
586,1211,464,1671,1420,1744,1079,583,1102,1554,1000,1048,1357,936,1353,930,540
1214,1079,493,1396,956,1635,1386,741,1138,1368,984,1085,816,1054,1386,1449,143
1064,1634,578,1193,1092,838,1444,1275,1079,1329,931,1062,989,980,1397,1508,361
1686,1448,1244,761,947,824,944,992,1084,1375,1082,990,1087,1002,1269,1391,390
1036,1026,736,797,883,1566,1067,1744,1171,1429,1437,1023,812,963,1447,998,485
683,1528,785,1259,924,1734,1250,851,1180,1338,1116,1009,1295,1108,1271,948,472
1744,1491,1493,910,1073,172,823,623,1011,1403,791,1170,836,1012,1214,1719,991
1059,1411,385,1147,895,816,1617,1651,1101,1342,772,1029,780,986,1434,1670,297
574,1198,606,1654,1318,1744,1179,540,1108,1498,972,892,1430,979,1348,1053,540
809,1516,684,1093,1259,836,1627,1370,1145,1422,929,978,954,977,1364,1511,361
1182,1403,405,1103,1112,1689,1382,708,1121,1431,913,1174,694,1134,1337,1476,143
875,982,474,938,1097,1637,1275,1661,1075,1483,1398,1113,797,989,1418,1007,485
1744,1561,1401,1015,854,280,1030,696,975,1512,850,1049,916,952,1145,1731,991
1744,1086,1194,791,757,968,1105,1117,1082,1266,1288,912,1128,922,1201,1480,390
867,1729,790,1234,847,1607,1174,710,1148,1388,1389,953,1325,1029,1169,879,472
682,1269,703,1646,1288,1744,1070,670,1022,1334,1145,1004,1468,956,1289,1062,540
1124,1007,476,1339,1164,1688,1383,735,1089,1385,891,1123,779,1117,1424,1472,143
835,1348,360,1108,1050,758,1744,1722,1144,1280,846,887,858,1059,1311,1744,297
948,982,757,1000,989,1574,1174,1701,1121,1423,1604,1108,843,887,1285,984,485
699,1486,748,998,1202,1041,1589,1394,1150,1408,777,945,1016,887,1358,1669,361
1744,1479,1198,1146,963,390,937,661,929,1547,938,1114,929,982,1151,1645,991
492,1190,497,1689,1352,1744,1036,611,1071,1527,1002,1101,1273,1037,1263,1001,540
1615,1458,1147,878,994,729,1187,895,1033,1488,1214,911,1058,980,1089,1478,390
660,1526,826,1487,1102,1704,1005,878,1104,1450,1270,1050,1344,990,1158,914,472
1015,955,467,1140,905,1005,1699,1659,1216,1274,854,911,965,824,1221,1723,297
1190,1230,551,1219,1137,1652,1412,783,1191,1427,782,1227,755,1075,1407,1416,143
903,1262,857,961,1411,874,1532,1480,1101,1318,887,899,1059,905,1369,1667,361
1744,1649,1314,1025,967,351,811,512,998,1413,773,1134,905,1083,1198,1709,991
996,919,668,800,831,1712,1244,1653,1115,1347,1497,1166,751,1008,1361,990,485
513,1116,472,1638,1359,1744,1201,609,1148,1453,977,1080,1272,1114,1320,916,540
933,1192,443,949,1058,675,1736,1714,1118,1238,930,920,929,1002,1281,1744,297
1700,1526,876,1001,1039,808,1043,872,1072,1399,1169,963,1113,973,1214,1377,390
872,1644,801,1250,801,1709,982,740,1163,1234,1386,973,1363,986,1197,978,472
993,1392,492,1259,1019,1485,1574,685,1115,1339,836,1192,817,1160,1445,1376,143
904,1500,623,930,1234,904,1660,1347,1179,1296,795,945,894,965,1516,1674,361
1734,1556,1339,1037,986,396,777,544,944,1479,843,1135,896,1001,1142,1684,991
958,993,881,879,805,1606,1061,1736,1033,1425,1540,1143,765,985,1353,1036,485
919,1415,478,1094,946,719,1744,1666,1005,1313,1062,847,1023,935,1145,1706,297
660,1458,799,1094,913,1579,1419,1051,1138,1328,1301,914,1315,1063,1211,1010,472
424,1113,461,1726,1490,1744,1215,628,993,1585,916,1184,1363,1078,1345,816,540
1634,1517,1186,996,778,1087,803,1070,1139,1379,1250,875,1229,947,1117,1344,390
821,1617,753,939,1132,789,1651,1345,1183,1279,1026,860,1069,965,1349,1542,361
996,930,630,924,991,1630,1170,1744,1086,1407,1640,971,881,916,1283,1086,485
1744,1585,1272,1013,969,299,835,759,963,1418,859,1105,983,909,1193,1696,991
1138,1383,434,1357,1108,1652,1390,676,1112,1379,891,1180,740,1157,1350,1471,143
853,1251,498,1048,981,829,1744,1681,1142,1364,1070,858,951,910,1262,1708,297
724,1471,823,1288,1044,1689,1010,817,1142,1472,1166,999,1363,1076,1174,888,472
646,1359,592,1701,1180,1744,1001,643,1073,1378,1083,1032,1494,953,1278,989,540
1744,1593,1040,1038,1053,440,1168,534,955,1555,910,1186,807,954,1129,1676,991
1640,1497,931,1074,858,953,1136,961,1049,1522,1136,963,1058,990,1128,1434,390
1029,1206,378,1064,920,1025,1731,1668,1095,1328,958,874,886,955,1313,1676,297
865,1483,788,1045,1323,966,1493,1208,1061,1302,995,1032,1010,1021,1314,1477,361
884,914,753,969,974,1592,1161,1744,1079,1460,1455,1095,853,915,1380,1043,485
1572,1071,566,1285,1127,1590,1307,627,1043,1364,748,1297,680,1171,1386,1544,143
502,1195,640,1737,1281,1744,1138,508,1139,1517,941,1122,1360,973,1270,958,540
869,1567,837,1235,896,1719,1053,744,1105,1285,1403,993,1377,995,1123,999,472
1744,1587,1313,1173,1121,339,819,489,970,1551,883,1079,915,975,1201,1693,991
1744,1200,1088,918,916,824,1010,912,1081,1436,1170,881,1167,895,1124,1517,390
1308,1118,642,1337,1083,1597,1190,875,1062,1159,821,1158,905,1177,1343,1645,143
684,1332,557,1098,1229,1171,1675,1377,1094,1370,783,888,1018,943,1399,1731,361
984,1326,489,956,969,696,1744,1603,1087,1439,1026,799,930,905,1271,1744,297
1042,821,595,1098,773,1744,1294,1702,1087,1400,1557,1109,882,974,1307,962,485
848,1499,796,1330,1011,1723,1080,784,1099,1396,1489,996,1323,966,1099,912,472
488,1230,437,1680,1387,1730,1212,558,1043,1535,958,1019,1348,996,1372,1009,540
1259,1267,410,1344,835,1633,1431,733,1221,1242,832,1162,739,1068,1553,1463,143
1744,1598,1251,1141,1021,350,861,545,963,1514,827,1123,940,976,1213,1692,991
679,1561,511,910,1252,912,1744,1191,1095,1513,1023,941,986,905,1391,1426,361
1744,1313,1125,852,905,727,1134,942,1067,1471,1191,950,1168,912,1111,1410,390
976,1060,418,962,1060,1545,1302,1709,1136,1563,1455,1166,733,921,1387,919,485
917,1541,413,1219,914,813,1578,1624,1066,1431,842,898,818,1019,1318,1677,297
756,1542,812,1419,892,1637,1237,887,1098,1348,1235,1057,1341,1119,1140,942,472
1035,1488,324,1222,1074,1724,1466,709,1123,1415,900,1133,832,1130,1251,1405,143
552,1170,480,1639,1439,1744,1130,594,989,1500,1043,1115,1377,1040,1290,926,540
1744,1744,1100,1085,993,253,812,654,949,1608,855,1158,845,914,1120,1703,991
745,1573,650,1008,1206,962,1610,1374,1080,1469,1000,922,974,945,1392,1457,361
888,1543,1029,1175,916,1744,969,809,1162,1211,1326,939,1453,963,1185,1041,472
1074,1183,545,889,901,1744,1023,1620,1129,1256,1560,1103,876,978,1372,1006,485
1715,1178,1240,878,782,1042,810,1177,974,1372,1260,968,1143,960,1249,1354,390
850,956,385,1079,1156,797,1730,1744,1076,1413,789,903,986,936,1234,1741,297
1744,1674,1238,1170,830,362,899,543,974,1504,855,1041,1014,929,1166,1644,991
1164,1257,415,1243,864,1726,1336,846,1203,1266,947,1135,863,1114,1307,1445,143
555,1076,560,1684,1350,1744,1289,505,1090,1557,1075,961,1448,883,1354,908,540
664,1530,742,1075,1343,831,1622,1302,1008,1235,990,869,1122,978,1277,1678,361
665,1479,715,1264,891,1726,1336,809,1123,1468,1127,1025,1216,1014,1140,1114,472
1000,880,607,994,1020,1549,1195,1744,1083,1352,1531,1176,845,969,1448,876,485
934,1432,355,1131,1011,901,1676,1588,1065,1320,867,927,935,988,1243,1744,297
515,1108,515,1697,1445,1744,1212,603,1081,1518,1016,1046,1321,951,1363,984,540
1744,1726,1106,1048,1054,276,876,668,944,1628,948,1126,780,1006,1167,1643,991
1619,1382,1159,1000,987,981,1032,1017,996,1440,1210,924,1185,960,1220,1345,390
962,1334,423,1331,1167,1700,1567,667,1183,1424,972,1130,664,1128,1404,1375,143
793,1486,862,1324,767,1657,1149,874,1206,1282,1467,837,1455,1002,1113,918,472
677,996,760,982,1374,1202,1645,1463,1048,1512,819,939,1065,917,1268,1654,361
858,1312,344,1033,1152,864,1743,1639,1179,1328,901,915,930,959,1295,1723,297
1074,1094,613,977,906,1568,1071,1744,1041,1527,1537,1093,775,950,1300,1057,485
576,1221,485,1695,1554,1744,1019,618,1019,1590,1076,1029,1384,886,1376,903,540
1744,1686,1210,941,1107,303,818,598,931,1513,874,1093,882,968,1257,1676,991
1688,1397,892,956,1015,855,1123,1025,1037,1459,1278,831,1244,923,1103,1405,390
1185,1403,445,1276,896,1301,1564,674,1215,1469,919,1191,723,1050,1371,1342,143
696,1663,804,1276,905,1686,1215,814,1129,1356,1415,911,1456,913,1104,996,472
760,1036,779,1125,1379,1238,1492,1450,1012,1409,982,894,1081,953,1339,1580,361
949,1075,518,1034,938,1033,1741,1702,1039,1308,921,922,993,919,1308,1713,297
677,1139,503,1699,1202,1744,1012,694,1032,1342,964,1104,1402,1109,1413,914,540
1744,1653,1076,1056,945,448,947,687,958,1581,906,1067,903,905,1142,1685,991
1744,1479,1199,972,810,760,933,798,1086,1461,1076,1003,1074,880,1241,1459,390
989,875,770,888,942,1598,1114,1744,1097,1245,1629,1135,890,1017,1438,827,485
915,1285,526,1281,998,1667,1487,759,1154,1394,812,1185,754,1078,1473,1361,143
794,1675,725,1266,926,1708,1122,728,1127,1301,1326,1039,1254,1053,1224,956,472
660,1276,562,1668,1328,1744,1109,518,1037,1496,1025,1157,1363,1036,1317,849,540
810,1379,409,1197,950,749,1744,1655,1156,1317,879,1052,852,944,1418,1634,297
605,1317,797,933,1305,1235,1574,1355,1049,1335,784,1038,1011,986,1417,1606,361
1744,1493,913,953,720,751,1128,886,1163,1398,1129,990,1035,940,1214,1411,390
1744,1616,1171,1047,979,370,801,584,961,1489,979,1112,1000,932,1163,1604,991
1279,1366,411,1397,1198,1677,1125,770,1087,1360,934,1038,863,1065,1327,1544,143
906,861,625,1061,1083,1458,1239,1744,1104,1378,1421,1237,752,1070,1480,838,485
543,1211,496,1685,1237,1744,1231,607,1145,1441,1100,983,1358,891,1351,1011,540
776,1571,710,1239,1013,1741,1221,852,1052,1338,1426,1061,1350,995,1112,940,472
1021,1336,325,1062,1135,673,1744,1665,1106,1336,931,889,879,1023,1292,1715,297
1744,1529,1166,1225,946,316,857,663,924,1502,892,1100,935,933,1181,1732,991
933,897,462,1427,1233,1597,1563,871,1138,1267,856,1171,817,1092,1476,1462,143
892,926,1146,905,1488,830,1503,1514,933,1381,841,946,1207,905,1242,1681,361
454,1329,574,1677,1397,1744,868,666,1066,1402,1139,1015,1540,987,1161,959,540
939,764,908,865,1065,1594,1258,1707,1097,1418,1508,1190,845,1009,1362,831,485
1686,1270,1065,1059,812,1045,1156,944,1125,1500,1106,966,1010,864,1140,1564,390
767,1655,803,1204,933,1730,1136,820,1106,1348,1314,940,1454,1050,1083,985,472
935,1188,438,1103,940,931,1588,1628,1185,1343,838,949,753,988,1363,1703,297
498,1231,473,1693,1451,1689,1131,623,1120,1490,1026,976,1381,967,1359,961,540
813,1348,472,1061,1379,933,1604,1480,995,1283,934,1014,1006,1047,1298,1668,361
1744,1570,1192,1114,1199,260,915,551,946,1540,786,1175,827,1004,1105,1744,991
1081,1104,392,1299,1016,1695,1593,685,1234,1491,873,1188,663,1173,1503,1155,143
1722,1441,1073,841,928,824,1219,880,1125,1410,1151,913,1101,860,1315,1405,390
690,1650,725,1341,988,1741,1051,776,1099,1428,1208,1038,1215,1151,1162,979,472
1092,1162,620,835,898,1552,1163,1679,1031,1408,1543,1128,743,1029,1351,1047,485
884,1422,452,1089,1059,639,1682,1646,1089,1410,832,935,817,964,1333,1744,297
